# Derived from data taken by Jonas Spiller, Theo Lequy, Clara Bleich
# time since 2024-01-08 18:00 [h], distance to Jupiter [1e6 km], distance to Jupiter (alternative estimate) [1e6 km], std of distance to Jupiter [1e6 km]
2.450000000000000000e+01 -6.694912165539121940e-01 -6.377325999999999828e-01 1.021873927862652996e-03
2.675000000000000000e+01 -6.465698993400235128e-01 -6.158985999999999628e-01 2.625774478144758152e-03
2.975000000000000000e+01 -5.812203148370602701e-01 -5.536489999999999467e-01 3.074297767962862714e-03
4.750000000000000000e+01 1.895641434314785378e-01 1.805717999999999768e-01 1.066914874664969329e-03
4.825000000000000000e+01 2.317069702996287783e-01 2.207154999999999812e-01 1.105066700243521622e-03
4.900000000000000000e+01 2.578458172895022882e-01 2.456143999999999827e-01 1.203216658235494981e-03
5.200000000000000000e+01 3.919276494962435353e-01 3.733357999999999954e-01 7.149647104211872715e-04
5.275000000000000000e+01 4.234953234398673994e-01 4.034059999999999868e-01 1.222818786862492780e-03
5.500000000000000000e+01 4.973789361509071694e-01 4.737847999999999504e-01 2.655250275764854152e-03
7.125000000000000000e+01 5.840155103675952475e-01 5.563115999999999062e-01 1.130615437383950201e-03
7.225000000000000000e+01 5.590762690010757652e-01 5.325554000000000121e-01 1.184041783470737332e-03
7.525000000000000000e+01 4.688323745402563358e-01 4.465924000000000005e-01 7.008566369326054259e-04
7.675000000000000000e+01 4.096262153526580296e-01 3.901947999999999528e-01 1.916874734347625729e-03
7.925000000000000000e+01 3.158581447497196826e-01 3.008747999999999978e-01 3.616732734074097622e-03
