# Derived from data taken by Jonas Spiller, Theo Lequy, Clara Bleich
# time since 2024-01-08 18:00 [h], distance to Jupiter [1e6 km], distance to Jupiter (alternative estimate) [1e6 km], std of distance to Jupiter [1e6 km]
4.250000000000000000e+00 -1.744604714052963579e-01 -1.661845999999999879e-01 2.618785516447141339e-03
2.450000000000000000e+01 9.170752460003367412e-02 8.735719999999999597e-02 8.660568188878982332e-03
2.675000000000000000e+01 2.285406707279144800e-01 2.176993999999999874e-01 2.205087256441554296e-03
2.975000000000000000e+01 3.587378257239626222e-01 3.417204000000000352e-01 1.260042229200094514e-03
4.750000000000000000e+01 -2.200116815563234463e-01 -2.095749999999999835e-01 1.005216923700538115e-03
4.825000000000000000e+01 -2.639142869371438604e-01 -2.513949999999999796e-01 9.326003730587125113e-04
4.900000000000000000e+01 -2.928169404594441194e-01 -2.789265999999999690e-01 1.538897341437199919e-03
5.200000000000000000e+01 -3.987708710035466897e-01 -3.798543999999999810e-01 1.030125822218267003e-03
5.275000000000000000e+01 -4.127189239956971512e-01 -3.931407999999999570e-01 1.172259046949765404e-03
5.500000000000000000e+01 -4.219019381111488443e-01 -4.018881999999999732e-01 2.052844741161090683e-03
7.125000000000000000e+01 3.319133548322666383e-01 3.161684000000000161e-01 1.241326176156032531e-03
7.225000000000000000e+01 3.615368005318617128e-01 3.443865999999999872e-01 8.675003402765486902e-04
7.525000000000000000e+01 4.102852793330042380e-01 3.908225999999999645e-01 6.166892088814637926e-04
7.675000000000000000e+01 4.048471091657702137e-01 3.856423999999999963e-01 8.832336267592302143e-04
7.925000000000000000e+01 3.533200216625245194e-01 3.365595999999999588e-01 9.878958620116685616e-04
