# Derived from data taken by Jonas Spiller, Theo Lequy, Clara Bleich
# time since 2024-01-08 18:00 [h], distance to Jupiter [1e6 km], distance to Jupiter (alternative estimate) [1e6 km], std of distance to Jupiter [1e6 km]
1.000000000000000000e+00 1.744053989357057910e+00 1.661321399999999837e+00 1.526921504912168159e-03
4.250000000000000000e+00 1.704471937842935159e+00 1.623616999999999866e+00 2.380555545938895998e-03
2.450000000000000000e+01 1.376856251253327779e+00 1.311542399999999775e+00 1.094448740700014596e-03
2.675000000000000000e+01 1.328722324943575339e+00 1.265691799999999922e+00 1.541343156444914238e-03
2.975000000000000000e+01 1.261643721046489475e+00 1.201795199999999841e+00 1.712381967089976476e-03
4.750000000000000000e+01 8.352337349194075555e-01 7.956128000000000089e-01 1.245723501192858278e-03
4.825000000000000000e+01 8.131923594518171150e-01 7.746170000000000000e-01 8.450564595898786948e-04
4.900000000000000000e+01 7.969196309609748452e-01 7.591161999999999077e-01 1.393742148635447164e-03
5.200000000000000000e+01 7.134278354310106263e-01 6.795849999999999946e-01 7.292920832556796769e-04
5.275000000000000000e+01 6.924062349721941123e-01 6.595605999999999414e-01 1.761432973987407712e-03
5.500000000000000000e+01 6.304708076480809442e-01 6.005631999999999637e-01 2.181388076291060091e-03
7.125000000000000000e+01 1.786689067101895345e-01 1.701933999999999947e-01 1.196741835053288317e-03
7.225000000000000000e+01 1.573890556314860023e-01 1.499230000000000007e-01 1.429382373114893891e-03
7.925000000000000000e+01 -1.107641107893182486e-01 -1.055098000000000008e-01 3.523288094561514289e-03
