# Derived from data taken by Jonas Spiller, Theo Lequy, Clara Bleich
# time since 2024-01-08 18:00 [h], distance to Jupiter [1e6 km], distance to Jupiter (alternative estimate) [1e6 km], std of distance to Jupiter [1e6 km]
1.000000000000000000e+00 1.063229559827316040e+00 1.012793199999999949e+00 1.358558370141690463e-03
4.250000000000000000e+00 1.050592706120690334e+00 1.000755800000000084e+00 1.103170060803442898e-03
2.450000000000000000e+01 6.657295758174093248e-01 6.341493999999999742e-01 6.043916029459472060e-04
2.675000000000000000e+01 5.927865832503488308e-01 5.646665999999999075e-01 1.604251052550371721e-03
2.975000000000000000e+01 4.872238079134411648e-01 4.641114000000000073e-01 9.924186748402005504e-04
4.900000000000000000e+01 -2.501932005466991349e-01 -2.383247999999999756e-01 1.026699765971732714e-03
5.200000000000000000e+01 -3.637592255818665188e-01 -3.465035999999999672e-01 8.805871824753837111e-04
5.275000000000000000e+01 -3.907688810644083244e-01 -3.722320000000000073e-01 6.455864341907509209e-04
5.500000000000000000e+01 -4.653802146279107377e-01 -4.433039999999999758e-01 1.393765989044298218e-03
7.125000000000000000e+01 -9.205051501682041115e-01 -8.768391999999999298e-01 1.079569998062608312e-03
7.225000000000000000e+01 -9.404049351294130332e-01 -8.957950000000000079e-01 1.290405086729481997e-03
7.525000000000000000e+01 -9.891076426824779722e-01 -9.421874000000000082e-01 1.345536694441325015e-03
7.675000000000000000e+01 -1.011847974502592340e+00 -9.638489999999999558e-01 1.553680927200153669e-03
7.925000000000000000e+01 -1.023452665569083431e+00 -9.749031999999998588e-01 1.625527539392153430e-03
